Country,Name,Lat,Lon,Population
China,Zhaotong,27.3328,103.7144,5213521
China,Pudong,31.2231,121.5397,5187200
Brazil,Belo Horizonte,-19.9281,-43.9419,5159000
China,Zhangzhou,24.5093,117.6612,5140000
China,Bozhou,33.8626,115.7742,5100000
Australia,Melbourne,-37.8136,144.9631,5078193
China,Nanchang,28.6842,115.8872,5042565
China,Xianyang,34.35,108.7167,5040000
China,Taizhou,32.4831,119.9,5031000
Indonesia,Surabaya,-7.2458,112.7378,4975000
Côte D’Ivoire,Abidjan,5.3364,-4.0267,4980000
China,Huaihua,27.5494,109.9592,4983300
China,Ji’an,27.1172,114.9793,4956600
China,Mianyang,31.4669,104.7385,4945000
China,Xiaoganzhan,30.9273,113.911,4921000
China,Shaoxing,30,120.5833,4912239
Egypt,Alexandria,31.2,29.9167,4870000
China,Yuncheng,35.0304,110.998,4860000
China,Pingdingshan,33.735,113.2999,4838000
China,Huizhou,23.1115,114.4152,4830000
China,Huai’an,33.5,119.1331,4799889
China,Xinpu,34.5906,119.1801,4790000
China,Chenzhou,25.7989,113.0267,4754600
China,Guilin,25.2667,110.2833,4747963
China,Jiujiang,29.7048,116.0021,4728778
China,Anqing,30.5,117.0333,4723000
United States,Boston,42.3188,-71.0846,4688346
China,Huanglongsi,34.7936,114.3403,4676159
China,Jiangmen,22.5833,113.0833,4630300
China,Changzhou,31.8122,119.9692,4592431
Spain,Barcelona,41.3825,2.1769,4588000
China,Wuxi,31.5667,120.2833,4580000
China,Zibo,36.7831,118.0497,4530597
China,Jiaxing,30.7522,120.75,4501657
China,Dalian,38.9,121.6,4480000
China,Hengshui,37.7348,115.686,4472000
China,Harbin,45.75,126.6333,4458000
China,Yangzhou,32.3912,119.4363,4459000
China,Yibin,28.7596,104.64,4456000
South Africa,Johannesburg,-26.2044,28.0416,4434827
China,Yiyang,28.5833,112.3333,4420700
China,Meizhou,24.2998,116.1191,4378800
China,Chifeng,42.2663,118.9223,4376600
Morocco,Casablanca,33.5992,-7.62,4370000
China,Guiyang,26.5794,106.7078,4365000
China,Langfang,39.5196,116.7006,4358839
China,Zhangjiakou,40.8108,114.8811,4345491
Turkey,?zmir,38.4127,27.1384,4320519
China,Linfen,36.0812,111.5087,4316610
China,Wenzhou,27.9991,120.6561,4310000
Mexico,Monterrey,25.6667,-100.3,4295000
China,Luzhou,28.8918,105.4409,4291000
China,Jiangguanchi,34.0244,113.8201,4289000
China,Neijiang,29.5872,105.0635,4238000
United States,Phoenix,33.5722,-112.0891,4219697
China,Yanjiang,30.1256,104.6397,4217000
China,Zhaoqing,23.05,112.4667,4151700
China,Xiaoxita,30.7083,111.2803,4137900
China,Guigang,23.0961,109.6092,4118808
China,Xiamen,24.4797,118.0819,4110000
China,Chuzhou,32.3062,118.3115,4110000
China,Fuzhou,27.9814,116.3577,4047200
China,Zhuzhou,27.8407,113.1469,4028500
Jordan,Amman,31.95,35.9333,4007526
Saudi Arabia,Jeddah,21.5428,39.1728,3976000
China,Loudi,27.7378,111.9974,3941300
China,Deyang,31.1289,104.395,3877000
China,Qingyuan,23.6842,113.0507,3874000
China,Wuhu,31.334,118.3622,3842100
China,Hechi,23.0965,109.6091,3830000
United States,Seattle,47.6211,-122.3244,3789215
China,Binzhou,37.3806,118.0125,3779200
Japan,Yokohama,35.4333,139.6333,3757630
China,Liuzhou,24.3264,109.4281,3758704
China,Baojishi,34.3609,107.1751,3738700
China,Guang’an,30.4673,106.6336,3723000
China,Hanzhong,33.0794,107.026,3700000
Afghanistan,Kabul,34.5328,69.1658,3678034
China,Zaozhuang,34.8667,117.55,3650000
Germany,Berlin,52.5167,13.3833,3644826
China,Anshan,41.1066,122.9895,3645884
China,Lanzhou,36.0617,103.8318,3616163
China,Chengde,40.9739,117.9322,3610000
United States,San Francisco,37.7562,-122.443,3592294
China,Puyang,35.7639,115.03,3580000
China,Suining,30.5098,105.5737,3556000
China,Jiaozuo,35.229,113.2304,3540101
China,Bengbu,32.9354,117.3531,3525000
Canada,Montréal,45.5089,-73.5617,3519595
United States,Detroit,42.3834,-83.1024,3506126
China,Baicheng,23.901,106.6194,3466758
"Korea, South",Busan,35.1,129.0403,3453198
Algeria,Algiers,36.7764,3.0586,3415811
China,Qincheng,34.5809,105.7311,3400000
China,Taiyuan,37.8733,112.5425,3398000
China,Shiyan,32.6351,110.7755,3398000
India,Lucknow,26.847,80.947,3382000
China,Chaoyang,41.5757,120.4486,3370000
China,Hechi,24.6928,108.085,3369251
China,Leshan,29.5854,103.7575,3364000
China,Yulinshi,38.2655,109.7388,3328000
China,Siping,43.1715,124.3644,3300000
China,Zhongshan,22.5333,113.35,3260000
China,Changzhi,36.1953,113.097,3230000
United States,San Diego,32.8312,-117.1225,3220118
Pakistan,Faisalabad,31.418,73.079,3203846
Bolivia,Santa Cruz,-17.7892,-63.1975,3151676
China,Qinhuangdao,39.9398,119.5881,3146300
China,Bazhou,31.8576,106.7559,3134000
China,Zhenjiang,32.2109,119.4551,3113384
China,Ürümqi,43.8225,87.6125,3112559
China,Tongliao,43.6172,122.264,3094600
China,Heyuan,23.7503,114.6923,3093900
China,Tongren,27.7233,109.1885,3093204
China,Qinzhou,21.95,108.6167,3079721
India,Jaipur,26.9167,75.8667,3073350
China,Xinzhou,38.4178,112.7233,3067501
Ethiopia,Addis Ababa,9.0272,38.7369,3041002
China,Meishan,30.0575,103.8381,3020000
Brazil,Brasília,-15.7939,-47.8828,3015268
Iran,Mashhad,36.3069,59.6042,3001184
China,Jinzhou,41.1144,121.1292,3000000
China,Tieling,42.2841,123.8365,3000000
China,Shaoguan,24.8011,113.5927,2997600
Kuwait,Kuwait City,29.375,47.98,2989000
China,Shanwei,22.7664,115.3331,2993600
United States,Minneapolis,44.9635,-93.2678,2977172
Ukraine,Kyiv,50.45,30.5236,2963199
Yemen,Sanaa,15.35,44.2,2957000
Philippines,Quezon City,14.6333,121.0333,2936116
China,Dingxi,35.5806,104.6263,2930000
"Korea, South",Incheon,37.4639,126.6486,2913024
Turkey,Bursa,40.1833,29.0667,2901396
China,Ningde,26.6667,119.5167,2910000
United States,Tampa,27.9942,-82.4451,2908063
China,Daqing,46.5979,125.008,2904532
United Kingdom,Birmingham,52.48,-1.9025,2897303
China,Putian,25.4394,119.0103,2900000
China,Huzhou,30.8695,120.0958,2893542
Brazil,Salvador,-12.9708,-38.5108,2886698
China,Wuzhou,23.4833,111.3167,2882200
China,Xiangtan,27.8431,112.9228,2881500
United States,Denver,39.7621,-104.8759,2876625
Italy,Rome,41.8931,12.4828,2872800
Bolivia,La Paz,-16.4942,-68.1475,2867504
"Korea, North",Pyongyang,39.03,125.73,2863000
Nigeria,Kano,12,8.5167,2828861
Taiwan,Taichung,24.15,120.6667,2803894
Sudan,Omdurman,15.6835,32.4629,2805396
China,Zigong,29.3498,104.7645,2800000
China,Mudanjiang,44.5861,129.5997,2790000
China,Huludao,40.7094,120.8378,2787000
Taiwan,Kaohsiung,22.6167,120.3,2773533
Ecuador,Guayaquil,-2.1833,-79.8833,2723665
China,Rizhao,35.4164,119.4331,2720000
United Kingdom,Manchester,53.4794,-2.2453,2705000
India,Cawnpore,26.4725,80.3311,2701324
China,Baotou,40.6562,109.8345,2700000
Taiwan,Taipei,25.0478,121.5319,2684567
China,Nanping,26.6448,118.1728,2690000
China,Chaozhou,23.67,116.63,2656600
China,Longyan,25.0881,117.0244,2640000
Nigeria,Ibadan,7.3964,3.9167,2628000
China,Hohhot,40.8151,111.6629,2635000
Madagascar,Antananarivo,-18.9386,47.5214,2610000
China,Longba,33.535,105.349,2614000
China,Weihai,37.5,122.1,2596753
Bangladesh,Chattogram,22.335,91.8325,2581643
Dominican Republic,Santo Domingo,18.4764,-69.8933,2581827
China,Xuanzhou,30.9475,118.7518,2580000
China,Sanming,26.2658,117.6302,2580000
United States,Brooklyn,40.6501,-73.9496,2559903
China,Yangjiang,21.8556,111.9627,2555600
Colombia,Medellín,6.2447,-75.5748,2529403
China,Yunfu,22.9242,112.0353,2526900
Australia,Brisbane,-27.4678,153.0281,2514184
China,Baoshan,25.1211,99.169,2506491
United Arab Emirates,Dubai,25.2697,55.3094,2502715
China,Luohe,33.583,114.0109,2500000
China,Qinbaling,35.7278,107.64,2500000
India,Mirz?pur,25.15,82.58,2496970
China,Guangyuan,32.4353,105.8398,2484122
Colombia,Cali,3.44,-76.5197,2471474
China,Huangshi,30.2018,115.0326,2471700
"Korea, South",Daegu,35.8667,128.6,2461002
Brazil,Fortaleza,-3.7275,-38.5275,2452185
Guatemala,Guatemala City,14.6099,-90.5252,2450212
Cameroon,Yaoundé,3.8578,11.5181,2440462
Cameroon,Douala,4.05,9.7,2446945
China,Jilin,43.85,126.55,2396000
China,Lianshan,40.7503,120.83,2426000
China,Lincang,23.8864,100.0871,2429497
Turkey,Antalya,36.9081,30.6956,2426356
Uzbekistan,Tashkent,41.3,69.2667,2424100
Indonesia,Bandung,-6.95,107.5667,2394873
India,N?gpur,21.1539,79.0831,2405665
China,Huainan,32.4831,117.0164,2409000
China,Dandong,40.1167,124.3833,2400000
China,Shangzhou,33.868,109.9244,2400000
Indonesia,Bekasi,-6.2333,107,2381053
India,Gh?zi?b?d,28.6667,77.4167,2381452
Mexico,Tijuana,32.525,-117.0333,2384609
China,Jiamusi,46.8081,130.3653,2360000
Ghana,Accra,5.6037,-0.187,2291352
China,Yuxi,24.3495,102.5432,2303518
China,Anshun,26.2456,105.934,2297612
Canada,Vancouver,49.25,-123.1,2264823
Indonesia,Tangerang,-6.1783,106.6319,2237006
Turkey,Konya,37.8714,32.4847,2232374
United States,Queens,40.7498,-73.7976,2230722
China,Yingkou,40.6653,122.2297,2220000
Turkey,Adana,37,35.325,2220125
Indonesia,Medan,3.6667,98.6667,2210625
China,Sanmenxia,34.7736,111.195,2213000
India,Indore,22.7206,75.8472,2201927
China,Ma’anshan,31.7135,118.3605,2202899
China,Pingliang,35.5412,106.6819,2190000
China,Quzhou,28.9545,118.8763,2185000
Azerbaijan,Baku,40.3667,49.8352,2181800
China,Gaoping,30.7804,106.13,2174000
China,Huaibei,33.9562,116.789,2158000
China,Xining,36.6239,101.7787,2154000
Zimbabwe,Harare,-17.8292,31.0522,2150000
China,Yan’an,36.5952,109.4863,2150000
Cuba,Havana,23.1367,-82.3589,2141652
Cambodia,Phnom Penh,11.5696,104.921,2129371
Japan,Fukuoka,33.6,130.4167,2128000
Somalia,Mogadishu,2.0408,45.3425,2120000
China,Jincheng,35.4906,112.8483,2120000
China,Puning,23.2993,116.1586,2118200
China,Lishui,28.45,119.9167,2116957
China,Qingyang,24.8141,118.5792,2111000
United States,Riverside,33.9381,-117.3948,2107852
United States,Baltimore,39.3051,-76.6144,2106068
Vietnam,Haiphong,20.8,106.6667,2103500
United States,Las Vegas,36.2333,-115.2654,2104198
China,Laibin,23.7333,109.2333,2099711
Pakistan,Rawalpindi,33.6007,73.0679,2098231
Ghana,Kumasi,6.6833,-1.6167,2069350
United States,Portland,45.5372,-122.65,2074775
India,Vadodara,22.3,73.2,2065771
Australia,Perth,-31.9522,115.8589,2059484
United States,San Antonio,29.4658,-98.5253,2049293
India,Vish?khapatnam,17.7333,83.3167,2035922
Pakistan,Gujranwala,32.15,74.1833,2027001
Turkey,Gaziantep,37.0667,37.3833,2028563
China,Fushun,41.8708,123.8917,2024000
United States,St. Louis,38.6358,-90.2451,2024074
Mali,Bamako,12.6458,-7.9922,2009109
Ecuador,Quito,-0.2186,-78.5097,2011388
Belarus,Minsk,53.9022,27.5618,2009786
China,Pingxiang,27.6333,113.85,2001027
China,Chongzuo,22.4167,107.3667,1994285
Turkey,?anl?urfa,37.1583,38.7917,1985753
Congo (Kinshasa),Kananga,-5.897,22.4488,1971704
Pakistan,Peshawar,34,71.5,1970042
Japan,Sapporo,43.0621,141.3544,1961690
China,Hezhou,24.4164,111.5478,1954072
China,Jixi,45.2937,130.965,1950000
Venezuela,Caracas,10.5,-66.9333,1943901
China,Fuxin,42.0127,121.6486,1930000
Syria,Aleppo,36.2,37.15,1916781
Kazakhstan,Almaty,43.25,76.9,1916822
Syria,Dayr az Zawr,35.3333,40.15,1918000
Austria,Vienna,48.2083,16.3731,1911191
United Kingdom,Leeds,53.7997,-1.5492,1901934
United States,Sacramento,38.5667,-121.4683,1898019
Malawi,Blantyre,-15.7861,35.0058,1895973
Taiwan,Tainan,22.9833,120.1833,1883831
China,Zhuhai,22.2769,113.5678,1891100
Romania,Bucharest,44.4,26.0833,1883425
China,Wuwei,37.9278,102.6329,1890000
India,Bhop?l,23.25,77.4167,1883381
Brazil,Curitiba,-25.4297,-49.2719,1879355
Pakistan,Multan,30.1978,71.4711,1871843
China,Xiping,40.08,113.3,1873000
Paraguay,Asunción,-25.3,-57.6333,1870000
Pakistan,Saidu Sharif,34.75,72.3572,1860310
Germany,Hamburg,53.55,10,1841179
Kenya,Meru,0.05,37.65,1833000
Congo (Brazzaville),Brazzaville,-4.2667,15.2833,1827000
United States,Orlando,28.4772,-81.3369,1822394
Turkey,Mersin,36.8,34.6167,1814468
Japan,Ky?to,35.0111,135.7669,1805000
Brazil,Manaus,-3.1,-60.0167,1802014
China,Liaoyang,41.2643,123.1772,1800000
China,Baiyin,36.5448,104.1766,1799000
United States,San Jose,37.3019,-121.8486,1798103
Poland,Warsaw,52.2167,21.0333,1790658
China,Shengli,37.45,118.4667,1790000
Congo (Kinshasa),Lubumbashi,-11.6697,27.4581,1786397
China,Haikou,20.02,110.32,1776141
Syria,Damascus,33.5131,36.2919,1754000
China,Shuyangzha,34.1299,118.7734,1770000
Belgium,Brussels,50.8333,4.3333,1743000
Iran,E?fah?n,32.6447,51.6675,1756126
Hungary,Budapest,47.4983,19.0408,1752286
China,Heihe,50.2458,127.4886,1750000
Zambia,Lusaka,-15.4167,28.2833,1742979
Pakistan,Hyderabad City,25.3792,68.3683,1732693
Turkey,Diyarbak?r,37.9108,40.2367,1732396
India,Chinchvad,18.6278,73.8131,1729320
China,Shuozhou,39.3408,112.4292,1714857
United States,Cleveland,41.4767,-81.6804,1710093
United States,Pittsburgh,40.4396,-79.9762,1703266
India,Patna,25.61,85.1414,1684222
Iraq,Mosul,36.3667,43.1167,1694000
United States,Austin,30.3004,-97.7522,1687311
China,Sanzhou,30.82,108.4,1680000
Saudi Arabia,Mecca,21.4225,39.8261,1675368
Guinea,Conakry,9.5092,-13.7122,1667864
Uganda,Kampala,0.3136,32.5811,1659600
Mexico,Ecatepec,19.6097,-99.06,1656107
United States,Cincinnati,39.1413,-84.5061,1662691
Indonesia,Makassar,-5.1331,119.4136,1651146
China,Yushan,31.3867,120.9766,1651200
India,Ludhi?na,30.9083,75.8486,1649000
United Kingdom,Newcastle,55.0077,-1.6578,1650000
Indonesia,Depok,-6.394,106.8225,1631951
Taiwan,Zhongli,24.965,121.2168,1632616
United States,Kansas City,39.1239,-94.5541,1636715
Burkina Faso,Ouagadougou,12.3572,-1.5353,1626950
Philippines,Davao,7.0667,125.6,1632991
United States,Manhattan,40.7834,-73.9662,1628706
Indonesia,Semarang,-6.9667,110.4167,1621384
China,Yinchuan,38.4795,106.2254,1616000
Philippines,Caloocan City,14.65,120.9667,1583978
Russia,Novosibirsk,55.0333,82.9167,1602915
China,Chengtangcun,35.0833,117.15,1603659
India,?gra,27.18,78.02,1585705
Iran,Karaj,35.8327,50.9915,1592492
United States,Indianapolis,39.7771,-86.1458,1588961
China,Jingdezhen,29.2942,117.2036,1587477
Mexico,Puebla,19.0333,-98.1833,1576259
India,Kaly?n,19.2502,73.1602,1576614
India,Madurai,9.9197,78.1194,1561129
China,Benxi,41.292,123.761,1567000
India,Jamshedpur,22.8,86.1833,1558000
Brazil,Recife,-8.0539,-34.8808,1555039
United States,Columbus,39.9862,-82.985,1562009
Iran,Tabr?z,38.0833,46.2833,1558693
Venezuela,Maracaibo,10.6333,-71.6333,1551539
China,Zhangjiajie,29.1255,110.4844,1549200
China,Beihai,21.4667,109.1,1539251
China,Shuangyashan,46.6388,131.1545,1530000
Japan,K?be,34.6913,135.183,1513193
United States,Charlotte,35.208,-80.8304,1512923
China,Yucheng,29.9888,103.0007,1512000
China,Changshu,31.65,120.7333,1510100
China,Lianjiang,21.6146,110.2794,1509400
China,Ximeicun,24.9633,118.3811,1508000
China,Jianguang,28.1958,115.7833,1507402
Egypt,Mad?nat as S?dis min Ukt?bar,29.9361,30.9269,1500000
China,Xushan,30.1697,121.2665,1502000
Brazil,Belém,-1.4558,-48.5039,1499641
China,Guiping,23.4,110.0833,1496904
China,Leizhou,20.9147,110.0806,1494700
"Korea, South",Gwangju,35.1667,126.9167,1490092
India,N?sik,20,73.7833,1486053
Brazil,Porto Alegre,-30.0328,-51.23,1484941
Venezuela,Valencia,10.1667,-68,1484430
Nigeria,Onitsha,6.1667,6.7833,1483000
United States,Virginia Beach,36.7335,-76.0435,1478868
"Korea, South",Daejeon,36.351,127.385,1475221
Germany,Munich,48.1372,11.5755,1471508
New Zealand,Auckland,-36.85,174.7833,1470100
Russia,Yekaterinburg,56.8356,60.6128,1468833
China,Huangshan,29.7132,118.3151,1470000
China,Huazhou,32.6889,112.0447,1468061
Iran,Sh?r?z,29.61,52.5425,1460665
China,Pizhou,34.3422,118.0097,1458038
Indonesia,Palembang,-2.9833,104.7644,1452456
Mexico,León de los Aldama,21.1167,-101.6833,1454793
Morocco,El Kelaa des Srarhna,32.05,-7.4,1450021
Ukraine,Kharkiv,50,36.2292,1446107
Japan,Kawanakajima,35.53,139.705,1437266
China,Yangshe,31.8775,120.5512,1432044
China,Chizhou,30.6583,117.4849,1430000
China,Guyuan,36.008,106.2782,1426000
China,Rui’an,27.778,120.6526,1424667
United Kingdom,Birstall,52.6736,-1.12,1424216
Oman,Muscat,23.6139,58.5922,1421409
China,Hebi,35.7497,114.2887,1419000
United States,Bronx,40.8501,-73.8662,1418207
China,Gaozhou,21.9135,110.8481,1414100
Netherlands,The Hague,52.0767,4.2986,1406000
Nigeria,Owerri,5.4833,7.0333,1401873
United Arab Emirates,Sharjah,25.3575,55.3919,1400000
India,Far?d?b?d,28.4333,77.3167,1394000
Mongolia,Ulaanbaatar,47.9203,106.9172,1396288
Brazil,Goiânia,-16.6806,-49.2564,1393575
Turkey,Kayseri,38.7333,35.4833,1389680
China,Yueqing,28.1188,120.9621,1389332
Serbia,Belgrade,44.8167,20.4667,1378682
China,Pingdu,36.7833,119.9556,1378900
Italy,Milan,45.4669,9.19,1366180
India,Aurang?b?d,19.88,75.32,1371330
China,Yutan,28.3147,112.554,1368117
China,Wenling,28.3797,121.3718,1366794
United States,Milwaukee,43.0642,-87.9673,1365787
Bulgaria,Sofia,42.6979,23.3217,1355142
Australia,Adelaide,-34.9289,138.6011,1345777
Czechia,Prague,50.0833,14.4167,1335084
Turkey,Samsun,41.2867,36.33,1335716
India,R?jkot,22.2969,70.7984,1335397
China,Liangshi,27.2578,111.7351,1335900
Bangladesh,Khulna,22.8167,89.55,1311100
Argentina,Córdoba,-31.4167,-64.1833,1329604
Brazil,Guarulhos,-23.4667,-46.5333,1324781
Mexico,Juárez,31.7386,-106.487,1321004
Japan,Saitama,35.8617,139.6453,1320571
Uruguay,Montevideo,-34.8667,-56.1667,1319108
Congo (Kinshasa),Mbuji-Mayi,-6.1209,23.5967,1295000
China,Fuqing,25.7232,119.3735,1316000
China,Xintai,35.91,117.78,1315942
Qatar,Doha,25.3,51.5333,1312947
Japan,Hiroshima,34.4,132.45,1306589
India,Meerut,28.99,77.7,1305429
China,Yushu,44.8249,126.5451,1304436
China,Rongcheng,26.2312,104.0966,1302891
China,Huazhou,21.654,110.6294,1302100
China,Yangquan,37.8576,113.5762,1300000
China,Haicheng,40.8523,122.7474,1293877
China,Yingtan,28.2333,117,1288615
China,Huaiyin,33.58,119.03,1264000
China,Wuzhong,37.9874,106.1919,1284000
Colombia,Barranquilla,10.9639,-74.7964,1274250
India,Jabalpur,23.1667,79.9333,1267564
India,Th?ne,19.18,72.9633,1261517
China,Zhangye,38.9355,100.4553,1270000
China,Rucheng,32.3852,120.5634,1267066
Russia,Nizhniy Novgorod,56.3269,44.0075,1264075
Honduras,Comayagüela,14.0833,-87.2167,1250000
China,Shaoyang,32.9387,119.8404,1253548
India,Dhanb?d,23.7928,86.435,1246000
China,Yichun,47.7235,128.8893,1250000
China,Laiwu,36.1833,117.6667,1248636
China,Jingling,30.6667,113.1667,1247400
Russia,Kazan,55.7908,49.1144,1243500
China,Dayan,26.8808,100.2208,1244769
"Korea, South",Suwon,37.2858,127.01,1234300
China,Jiangyin,31.9087,120.2653,1241045
China,Yongcheng,33.9317,116.4459,1240382
Canada,Calgary,51.05,-114.0667,1239220
Vietnam,C?n Th?,10.0333,105.7833,1237300
Nigeria,Abuja,9.0556,7.4914,1235880
China,Yiwu,29.3081,120.0698,1234015
Myanmar,Mandalay,21.9769,96.0869,1225546
China,Beidao,34.6,105.92,1225000
Iraq,Al Ba?rah,30.4889,47.81,1225793
China,Shuangshui,26.5944,104.8333,1221000
Brazil,Vila Velha,3.2167,-51.2167,1209091
India,Allah?b?d,25.455,81.84,1201000
India,V?r?nasi,25.3189,83.0128,1198491
Russia,Chelyabinsk,55.15,61.4,1202371
Kenya,Mombasa,-4.05,39.6667,1200000
United States,Providence,41.823,-71.4187,1203230
Iran,Qom,34.6461,50.8789,1201158
Nigeria,Maiduguri,11.8333,13.15,1197497
Mozambique,Maputo,-25.9153,32.5764,1191613
